text,label
"NASA confirms discovery of water traces on Mars based on rover analysis.",real
"Breaking: Drinking bleach cures all diseases overnight, experts reveal.",fake
"The city council approved a new public transport plan after voting.",real
"Aliens have secretly controlled world governments for 200 years.",fake
"Researchers published peer-reviewed results on a new cancer treatment.",real
"Government plans to ban oxygen usage starting next week.",fake
"The national weather service predicts heavy rainfall this weekend.",real
"A secret chip in streetlights is reading human thoughts.",fake
"The education ministry announced scholarship expansion for rural students.",real
"Scientists say the earth will stop spinning tomorrow.",fake
"Central bank reports annual inflation data in official release.",real
"Miracle pill lets humans live 300 years with no side effects.",fake
